,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,RF,RH,LF,LH
0,1.339939,-51.468964,95.956207,0.0,-104.462204,-83.057007,4.584608,-121.706612,163.889618,-14.647151,-76.675552,-132.099915,-0.010881496000000001,1.5859249610000004,-0.029696792800000003,-0.0131998031
1,13.582981,67.411308,107.872864,-30.128,-251.649673,-45.630104,1.375382,59.521011,9.62389,-17.575146,-179.291672,33.80703,0.005551187315315316,4.238444859135136,0.0017862602495495525,-0.001636819265765765
2,9.723894,131.320389,75.670868,-31.634399,-30.302906,27.736967,4.178615,34.803307,2.887167,-5.272544,8.351501,-3.038891,4.600288288288362e-05,4.533075820693694,-0.006707724338738735,-0.015372211019819818
3,12.332169,-69.817886,24.584261,-9.49032,-20.38887,27.151091,8.785584,65.047997,4.63215,45.493237,106.070442,34.865334,0.027796302486486495,1.779873057918919,0.00254492584864865,-0.0009776210162162125
4,9.34865,-139.574371,11.141278,6.567904,-128.511673,-70.940674,6.401675,19.5144,57.879646,36.243969,9.225136,-36.615402,1.8563135135142746e-05,0.10889666589189183,-0.013115977616216207,-0.010672907236036037
5,4.687595,182.204697,24.055384,13.268371,-127.054504,80.399803,11.335503,-135.370667,41.842896,22.17119,106.332535,-58.059624,0.3547559288288296,0.027778145081081135,-0.00589609787657658,0.0028633622414414306
6,22.119278,209.067413,-58.688385,-1.668488,-9.871351,22.236942,-32.37635,-132.878204,112.351875,-25.35964,131.698761,110.626099,4.778011322918918,0.14027711775675672,-0.019660018445945948,0.0013281507783783804
7,-23.492216,211.477234,84.075493,-15.564547,96.837601,-123.25592,91.969101,-21.033464,286.027557,-30.203892,109.180626,33.187832,8.792751592468466,0.17079469209909912,-0.00758816235225225,0.02257039692612613
8,-33.409664,112.401169,-46.331352,0.979636,55.41328,23.279224,44.537731,-64.683037,-8.341728,115.216843,36.520187,-69.129646,9.683112866594595,0.13832752534234244,0.00397943644324323,0.025818461727027026
9,-42.033897,133.519348,227.124603,5.94289,42.985985,-75.868233,24.659319,16.372089,-19.44952,62.810059,16.605057,-73.462891,7.138062040972974,0.029381311216216288,-0.0037510448918918198,-0.0007490313864864213
10,-57.802166,-89.871201,337.406403,14.963867,133.407791,-292.02948,-5.783204,6.794627,129.74115,26.375017,65.237518,-287.54187,7.176695067639639,0.8622306388288302,-0.01816576261891893,-0.011263911860360378
11,-70.064651,-43.908363,366.724915,8.25516,117.225342,-98.906845,-11.149961,-16.791613,-30.74865,-50.460491,62.880257,-150.284561,8.312251091999999,1.9590059843513512,-0.015198354663063051,0.5016807980405407
12,-81.275398,-101.673508,198.518478,13.774548,5.039602,252.777924,15.485011,-6.920484,-9.224595,99.724854,111.131073,-178.778381,10.49159493772973,2.2797918354864866,-0.005475272416216211,4.974305314613514
13,-95.936623,-207.504059,-83.55246,4.132364,56.118881,77.716385,-2.886497,-103.758156,-63.02338,86.407455,-8.086674,-302.189545,9.615042465585585,0.9894116848288285,0.01143543121711709,6.615838861436036
14,-19.36599,-92.379219,-74.023743,1.239709,16.835665,168.305908,-30.99395,8.415552,-122.472008,97.476242,-9.958002,-152.795868,5.956919395027029,0.1674397792702706,0.011783789703603591,5.157851799000902
15,-15.224797,-135.044769,2.271877,13.552913,69.072693,48.608776,-18.713184,55.248665,-78.167603,127.158875,-170.574402,-187.063751,1.3037190119999997,1.3663139727837934,-0.030578132013513767,4.170880127278369
16,8.61356,-287.186432,15.745564,-3.466126,177.010803,22.114634,-13.145956,-135.948395,-21.567282,132.297668,167.255692,-140.854126,2.762406607315315,3.250458894513513,-0.02020271898108109,3.6514585759945932
17,2.584068,-157.70993,63.096664,-2.922838,184.913239,-38.557606,7.354213,-53.965519,12.359816,150.786301,198.933716,-175.949249,4.595627451135136,4.348517852954957,0.00510531589099098,4.621578057186485
18,-14.288779,-192.303986,195.931,-23.472851,-123.411026,-68.057281,22.919264,85.492348,39.484947,99.842896,261.161133,-265.563782,5.708295745405407,3.8529604767837866,0.01648990010270325,5.075327663700006
