,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,RF,RH,LF,LH
0,1.933878,44.552814,78.56427,-11.895844,-171.288605,-31.918102,3.788892,176.291565,-37.1115,-1.92066,-94.573807,140.03302,8.911761828,-0.0028653080000000013,0.026555880100000005,2.187248932
1,0.580164,51.025845,25.452282,45.389248,-166.249588,9.254569,3.019668,94.313469,-114.698448,16.370802,16.819855,38.243908,9.9551394411677,0.010078726881987575,0.007161913717391316,4.78607552162795
2,0.174049,-304.802277,-33.790314,15.499775,-149.673889,31.021372,-4.743099,-94.10096,-40.058533,14.326241,55.886959,118.804176,8.796200816670808,0.022057835149068335,0.025093867424223634,6.846709476352174
3,0.052215,-196.888687,65.182907,4.649933,-29.838169,-73.545586,-1.42293,-169.455276,70.834435,21.244873,45.011089,101.546249,5.1605983813664595,0.006275033944099378,-0.0011441857739130515,6.052531877408694
4,0.015664,-140.035614,89.225868,1.39498,-16.483452,64.554329,-0.426879,-60.251587,-101.144669,0.724463,182.973328,13.516876,0.990385505366461,-0.012798834291925435,-0.01236967425093168,3.640936693977637
5,0.004699,-141.809692,-52.318237,0.418494,108.034966,25.015299,-0.128064,-63.267475,9.199598,-3.548661,100.084,113.269066,0.04121409103105592,0.017907321844720468,0.014787411050931652,4.283197611234784
6,0.00141,-134.809906,227.211533,-3.640452,120.911491,-239.168411,-0.038419,-67.938248,219.304871,-8.596599,75.217201,-205.160278,0.8752875962981371,-0.0019995000124223674,0.0023896828956521746,5.1136813202192535
7,9.415422,-106.347977,211.271454,-23.688135,81.465446,-84.931526,-13.192526,-56.158478,82.738464,-0.69598,-65.935837,-78.495087,2.652779049913043,0.002132483130434788,-0.0009328848434782572,5.0869711184217365
8,-113.921371,-101.575394,246.032425,-29.70244,79.046638,-61.256462,-17.138758,26.461458,-120.169456,-0.208794,-42.376751,-83.804527,3.856330968198757,0.008955710968944075,0.010996138251552828,6.095798105006214
9,-83.134415,-98.26062,356.259705,-20.208733,138.576996,-52.270943,-1.375627,2.289438,-69.944839,-122.457642,11.765974,-53.38636,3.597049562956522,0.5284418037453374,0.01590873910496902,8.047860497485722
10,-47.536324,-168.82019,304.592926,-6.06262,88.648102,10.680717,33.481312,70.357826,-282.720459,-53.684296,-4.002208,-130.878906,4.018587513664597,3.0488056511677013,0.028940669707453435,6.258554807938508
11,-25.558897,-71.359062,138.452881,18.894213,-37.427567,-9.976785,-82.222603,-44.797649,-192.147141,42.267708,-52.041664,-137.179672,5.003700032248442,4.625367781807449,-0.0009678757695652579,3.659210564800011
12,-18.965668,-32.705719,-127.934135,13.200264,-79.016273,172.125961,-15.251782,-220.56929,-176.273148,163.320312,104.899498,-46.802902,7.958324284546586,5.252069438478261,5.650532535477645,3.3004057677763963
13,33.853298,-250.835724,50.120758,-16.75292,224.851135,76.116791,6.722465,-22.86179,9.257057,143.146103,-136.117157,-59.232868,9.383568530732918,9.400968334975158,10.500403059650928,2.037167837915528
14,53.464993,-165.634705,62.111229,8.155124,-54.939659,-12.941963,2.016739,-18.156536,130.821106,148.39183,55.197849,-70.493858,6.860976630260871,11.350270297000002,13.996777176439128,1.0420776806739143
