,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,RF,RH,LF,LH
0,0.375228,-35.678375,155.435211,7e-06,-7.393395,14.222916,0.565408,21.548737,-85.751862,0.018649,60.941833,-0.122856,-0.032842267999999994,-0.015262265000000002,0.018182115500000005,1.1963658301
1,9.527568,-46.480515,10.853565,2e-06,9.079981,179.38588,-28.075378,-29.31238,-121.75856,-9.409406,-130.474457,184.497147,0.06885670976744189,4.28913201839535,0.029852923302325595,1.7038334730093023
2,2.85827,-94.913155,-109.72393,-5.648999,-36.819004,196.923767,113.972389,21.334286,-113.730576,-63.078823,4.166664,239.883148,0.0593283133023256,4.86831519211628,0.013083811500000028,1.4490099879999998
3,0.857481,-160.283951,-96.939178,-1.6947,-131.557709,205.951141,56.78772,-174.367706,-147.099182,101.588356,133.059998,166.11496,0.08793758753488332,3.832743971837211,0.049864948681395405,0.48306116526976783
4,13.438244,-93.277184,-29.081755,10.789589,-176.926315,3.412346,39.632317,45.605686,-10.235756,70.019508,83.227005,102.558487,3.5034321025116277,-0.04226843111627907,-0.037734692079069765,0.025037855309302328
5,15.329473,-108.952156,-52.033527,3.236877,148.403107,4.789704,21.304695,-10.797294,-6.836727,28.537853,64.511101,34.533546,6.432454468930232,0.47547401218604657,0.02435056488139535,0.03377996758372093
6,14.013842,-94.824654,-81.51506,0.971063,127.372932,8.968911,32.75341,-35.250187,-5.817019,42.455357,139.865326,12.243065,6.845842266139536,4.750920714023254,0.07476633322790567,-0.0022907472255813827
7,6.087152,-111.299393,-28.22052,5.940319,-37.10812,-8.607327,24.890022,70.393944,-1.745106,1.438608,154.939606,-98.009087,3.065085807348838,10.138058476976742,5.571208213660465,-0.0160576993534884
8,-28.301855,-27.74082,-17.881157,9.314095,-331.242462,4.949802,-41.490993,167.992188,76.679474,7.963583,-70.264114,-57.647728,1.0842305453953496,14.792653724906977,8.430632770644188,-0.007921136430232664
9,-36.735558,121.604752,-114.578354,2.794229,-84.308739,142.70993,-21.862299,142.664658,-57.965157,11.804075,-54.973236,65.557678,0.2814497209302321,13.280960304813952,7.752593377065114,-0.04097578305116277
10,-31.733667,34.598427,12.701492,0.838269,-6.462624,57.87698,6.62231,118.1194,25.919455,14.839222,15.519026,19.667305,0.009301597581395347,10.99941327972093,3.611867546453489,-0.03685900477906977
11,-3.871101,40.50753,13.225448,-11.046518,-75.375793,60.672096,1.986693,46.733822,-1.639163,-102.879234,-83.845291,-3.514808,-0.006188297860464952,12.744546689674419,3.7586966667418618,-0.030992690827907156
12,-36.938332,140.196259,-56.288364,-5.196956,-82.868744,108.585625,0.596008,59.212143,-55.098751,-57.225769,-89.175583,170.298553,0.01192893553488375,13.682775506627909,4.575383296288372,0.049735438551163025
13,-44.975502,96.665878,-28.184509,-29.804089,-109.595627,315.025665,0.178802,8.348643,-201.063629,-9.635733,-28.635675,137.707581,-0.024328779813953424,12.691330836651161,5.116435331448836,0.02208098968837205
14,-28.556652,-236.50322,104.524651,-33.420227,-179.752701,378.840698,-20.659359,68.409592,-82.915092,46.06728,-89.559708,-209.12674,-0.0016915416744186058,13.5326236972093,6.257683191916279,0.002282525641860444
15,-31.162994,-44.588966,249.7854,-30.739067,-221.512817,377.272217,-19.378807,163.630875,-122.790527,57.129189,-36.282913,-134.292023,0.024223659534883726,15.2541161032093,6.602027567855814,1.2964668080069768
16,-1.816899,-81.164696,129.542633,-33.700722,-79.63485,397.514679,-18.994642,75.451263,-57.550156,-7.340242,-63.608871,-125.022614,0.002775442976744151,11.828098734953493,5.02294650185349,1.862862494504651
17,5.10393,67.917587,166.906784,-34.589218,-291.276459,324.501404,-124.327393,246.712387,14.745951,31.691929,-118.881668,-131.656784,-0.04994726920930231,8.062387301000003,6.626784042716272,2.4604801500162794
18,3.414179,69.333275,125.392036,-32.972763,-356.651947,389.215424,-54.245216,109.790718,-29.470215,-37.567421,3.878498,41.471966,7.332576671813954,5.680373496906976,10.773479121134883,2.677622735453488
19,12.322253,-139.25502,99.756615,-32.487827,-267.050598,382.267639,-36.986565,95.076218,-65.33107,-18.802227,53.88755,119.772591,10.553787585953476,4.645202279116282,11.095041086653493,4.224562574227905
20,11.228676,-60.606506,16.745985,-32.342346,-364.448181,374.534302,-35.57497,224.354874,-27.131321,-5.640668,89.603271,9.569778,14.613537864930231,1.1877827499767364,5.397309675306966,4.770706027137205
21,10.900603,-87.852951,-30.753204,-36.064705,-316.464447,394.810272,-33.26849,165.222473,-128.651398,0.190799,-69.152016,12.285933,14.57805805637209,0.08787194244186139,0.7906952540906996,7.081875892886057
22,3.270181,-212.772873,47.264038,-44.713413,-164.610336,402.776093,-36.342545,38.268745,-89.436424,-9.35776,-37.692604,-65.985214,13.412211607813946,0.10210683651162815,0.028305391990697384,7.200356570283726
23,36.758057,-103.374863,70.669212,-37.893024,1.457901,147.194824,11.693235,0.182625,146.405075,-21.637329,-0.009782,-302.245544,9.41551041497675,0.04982331609302339,0.023257198832558452,4.582738362558134
24,-88.771584,-128.928467,66.392761,80.899094,105.885368,91.233444,29.86997,5.703787,-82.239479,-17.789198,1.880065,1.59333,9.252655101488367,-0.012881410627907215,0.030405200137209404,5.006895032044191
25,46.805527,-97.051544,283.537811,48.74873,101.436607,-121.386971,42.854992,-254.376846,39.350151,-18.517759,0.56402,-112.502007,11.534301295813952,-0.00039846625581391876,0.04347733717906978,5.699484509334883
26,57.350662,-15.934465,348.681335,1.44362,5.951982,-301.919067,69.346497,-317.337067,266.01004,-18.736328,17.116207,-295.48761,12.709578379813953,0.0004957865813955504,0.033453765553488446,4.914849825027902
27,64.280197,2.75166,396.469391,13.614086,45.094597,-118.820724,22.686949,61.087875,134.410019,-47.046898,-26.876135,-382.394287,11.93292291348837,0.020408238837209162,0.007883527872093014,5.5897406951697635
28,68.242058,-2.940502,393.858826,13.499226,-46.727623,197.845764,21.870085,1.379362,-164.923981,-100.732071,10.767159,-261.592285,11.40684333376744,0.03963669727906956,0.028650440286046488,6.583326349237203
29,31.770618,-55.489151,223.605652,15.347767,40.588715,187.39772,23.508026,-121.981194,-57.009197,-90.475624,82.316147,-234.766693,11.911590772465116,0.02285622904651176,0.044264324611628214,6.303982454323263
30,18.946186,4.066254,72.730698,8.37033,121.390617,238.8703,14.584408,48.14064,-148.91275,-57.270691,35.992844,-109.973007,12.967921793674423,-0.006164176860464648,3.7156087597814067,5.7949929310837085
31,30.162857,-2.546124,29.35121,4.394099,-23.838814,182.758087,8.141322,183.912201,-191.547836,-41.66021,-4.266147,32.913094,13.169544914139536,1.1214500871395334,8.222276769399995,3.8961167499720926
32,44.825859,70.790161,93.540367,-9.97977,-3.385644,-56.269573,-20.153603,26.928663,-36.75135,-1.200064,-165.100845,43.767929,10.3559155116279,4.02236950365117,14.610369664641864,1.5687853737906976
33,22.862759,-39.018951,86.435104,-2.993931,132.677322,-13.114873,-30.525082,-91.720406,-11.025406,9.054981,-72.126251,7.48138,4.932156353674422,9.275231188348835,14.99513536953721,0.4874405469302334
34,-4.439171,-90.791687,106.899536,-0.898179,51.1012,-24.647461,-22.338524,-59.527122,17.405376,2.716495,-183.575882,-14.702586,1.300514725116292,13.47299890297673,15.047393258034885,0.12404788243720874
