,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,RF,RH,LF,LH
0,10.061392,119.021408,1.573808,-12.793983,-251.675919,15.707155,12.423833,164.638214,-29.66831,4.066011,77.239571,-15.346163,-0.030886043999999994,1.03310521,-0.025927147100000002,-0.0250136103
1,12.433417,-35.847576,6.121142,-17.019196,-248.738785,21.659147,7.49315,113.413467,21.227507,3.102803,102.257874,-38.497849,-0.006930563148936167,3.1320507358510636,-0.0015195335404255307,-0.007352566495744678
2,5.613025,-274.374268,-1.929657,-18.286758,-294.932648,119.477745,11.662945,-188.169952,6.368252,0.930841,36.326363,-32.262352,0.002623167234042559,4.002114072893617,-0.005095854829787233,-0.013455371657446808
3,3.566908,-72.897285,-94.728897,-61.976028,-278.662781,180.83432,9.147883,-278.644989,65.932472,-22.316746,106.930908,-34.157707,0.02556641234042563,3.0421334723191493,-0.006276576102127649,0.005337863100000039
4,1.070072,-144.264191,178.711319,-41.188808,-221.057831,-137.815704,14.042364,-153.264496,240.090744,-6.695024,116.81427,-215.494308,0.008777529957446814,2.869057556191489,-0.010640586848936174,-0.00528101334255319
5,2.204022,-69.641258,70.560402,-34.952641,37.247643,81.050293,11.744709,-110.001343,115.336227,3.640492,-30.860718,193.322723,0.004378397787234038,4.130766224382978,-0.005004464099999998,0.0020429441638297853
6,10.076206,-75.499382,4.221121,-31.198792,71.430298,13.017089,16.704412,0.893597,49.664867,27.454147,17.103783,27.868818,0.00016449787234041734,5.510425511340425,-0.017682209585106416,0.003564526980851067
7,8.671862,-45.245811,261.120331,-33.838638,98.632095,-265.363892,16.309322,-3.497921,272.870483,21.417244,33.376137,-251.493362,-0.0021519382127659415,5.604531762957447,-0.008310523712765968,0.008121581410638293
8,8.250559,-32.403744,183.784103,-40.279594,59.717628,-126.684174,16.190796,17.780624,-149.747849,6.425173,19.427841,-96.161011,-0.004939756340425516,4.735619837148936,-0.003279860672340449,0.008392573534042522
9,11.890167,-36.083122,-48.42976,-23.381878,74.405289,208.667755,-10.206761,-17.26181,-203.096344,3.810552,-82.672646,131.206696,-0.003777789276595799,3.317531347595746,0.0029876090489362114,0.005925155765957447
10,14.865049,-150.166931,57.02507,-7.014564,225.685608,196.293335,126.864975,-185.946533,-145.66391,-108.070839,-7.854794,107.150009,-0.0022849137021276563,2.1972158989361703,-0.007416594014893614,0.00624103107021277
11,25.172514,-184.392075,280.727509,-13.402369,54.524689,186.931992,70.070496,-119.805954,-166.094177,-87.028259,-168.06044,145.125,0.09030680706382954,1.1964230603829793,-0.007837057365957443,0.010003950059574471
12,9.434754,8.704372,165.187256,-4.020711,99.209404,159.644592,21.021149,41.261215,-127.031258,-56.236481,-65.482132,62.3675,6.473597164340417,0.8268316774468073,-0.012726095197872128,0.05473868978297871
13,-2.818573,-244.061691,94.748177,42.102787,223.711823,-57.554619,-72.779655,-200.40062,56.040623,-18.753944,251.50737,9.295251,10.158862355574465,2.398463930170213,0.04602998282765933,3.4772047899382965
14,-49.803574,-229.507507,83.031456,46.524837,185.742554,-0.319386,-23.716896,-110.961197,103.430191,3.788816,92.399216,-2.860424,10.923399040340435,1.972219333574468,-0.03521225014893616,4.1347340898042555
15,-48.835075,-294.812256,209.443436,30.904453,97.148766,-17.042816,30.544931,70.276634,-98.897942,-6.395355,119.986763,-59.231125,4.579598195319154,2.6072839097446754,0.012659514702127351,4.518008299144711
16,-61.725525,-312.520691,130.621033,41.282333,106.347633,124.814156,-43.56052,51.210991,-104.98938,7.496393,118.848022,-126.983345,3.0389992632340435,3.782529828127659,-0.07535288542978742,1.8706231007425513
