,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,RF,RH,LF,LH
0,-0.000824,-0.942806,174.828979,-0.0,96.776077,-259.459961,2.2596,34.000702,125.579063,0.757427,26.627182,-245.674271,0.0006400880000000002,0.009095306000000001,0.011631012500000001,1.9351014785
1,-0.000247,118.346153,169.194687,11.297999,-106.543182,-111.731995,-14.38612,-6.74679,103.57872,-29.900772,-120.05584,-152.788284,4.799626663714285,0.017927446642857142,-0.005280725892857138,4.012707343466667
2,-3.766074,33.62085,131.727417,7.1554,-139.293961,-37.285599,-21.262836,78.944962,213.724609,-33.449234,-37.899754,-139.986481,6.4694072596190475,0.04541883864285714,0.04771344552857144,5.878403870547619
3,38.413177,-116.074745,114.838226,-16.68338,-38.02219,17.05932,27.51515,-10.210512,92.362389,-13.800771,-133.764923,-130.496948,5.676184541428568,0.022976891321428522,-0.002976820399999967,4.620742007607141
4,37.885952,106.402565,28.802469,-27.601013,-64.130653,16.415796,-8.692455,77.905846,10.761717,-4.140232,-115.449478,-42.915085,0.5901027438095232,0.010831931619047578,-0.0035358048571428793,1.8730100709047626
5,18.897785,-41.516235,-12.072258,-17.695305,-211.305191,23.754738,-17.671738,68.563751,-117.283485,-1.242069,-89.241852,0.306474,-0.04270399833333337,0.003244924083333334,-0.0039825280583333225,1.972482856129762
6,15.084335,-189.456863,-24.334677,-5.308592,-80.338562,-15.469578,-14.716521,-43.452869,-37.068047,-0.372621,-119.039551,20.804941,0.01780482342857119,0.04033324107142846,0.03513055850714274,2.9686983677071415
7,15.8233,-73.784065,71.785599,4.056422,11.67543,-142.099869,-4.414957,-75.174866,137.636597,9.303214,156.354126,-104.855515,0.02304376733333325,0.013955485250000024,0.004861263716666682,2.872064558583335
8,17.92799,-121.934219,91.20668,8.748927,73.17363,57.169041,-1.324487,-73.393463,142.972992,10.322965,84.566238,62.693344,0.024865997523809608,0.014469299000000015,0.0009850396285714354,3.1392089246333326
9,-75.590607,-172.156281,-4.648993,-16.205322,148.113098,-43.105286,-13.578346,-91.689041,52.3069,-49.62711,115.753868,143.086014,-0.005113383571428412,0.011005813928571462,0.021808982721428567,4.639861163171427
10,18.748816,1.077114,282.938324,-18.042597,104.689926,-172.986588,-37.967506,-149.901718,298.142059,-26.186132,61.088161,-102.065193,-0.022489555238095225,0.001428134857142823,0.0034492241738094996,4.735189340361908
